scenario_id,objective,aps_locations,num_q_positive,num_initial_inventory,total_flow,status,existing_inventory,initial_inventory,w_full,flow_summary,computational_time
0,267.0,"[18, 20, 21, 22, 23, 27, 41]",13,"{(18, 'food'): 5832.0, (18, 'water'): 9900.0, (20, 'food'): 4142.0, (20, 'water'): 9900.0, (21, 'food'): 5162.0, (21, 'water'): 9900.0, (22, 'food'): 2866.0, (22, 'water'): 9900.0, (23, 'food'): 4840.0, (23, 'water'): 9900.0, (27, 'food'): 1200.0, (27, 'water'): 9900.0, (41, 'water'): 9900.0}",0,2,"{(18, 'food'): 5832.0, (18, 'water'): 9900.0, (20, 'food'): 4142.0, (20, 'water'): 9900.0, (21, 'food'): 5162.0, (21, 'water'): 9900.0, (22, 'food'): 2866.0, (22, 'water'): 9900.0, (23, 'food'): 4840.0, (23, 'water'): 9900.0, (27, 'food'): 1200.0, (27, 'water'): 9900.0, (41, 'water'): 9900.0}","{(41, 'water'): <gurobi.Var *Awaiting Model Update*>}","{(18, 'food'): 5832.0, (18, 'water'): 9900.0, (20, 'food'): 4142.0, (20, 'water'): 9900.0, (21, 'food'): 5162.0, (21, 'water'): 9900.0, (22, 'food'): 2866.0, (22, 'water'): 9900.0, (23, 'food'): 4840.0, (23, 'water'): 9900.0, (27, 'food'): 1200.0, (27, 'water'): 9900.0, (41, 'water'): 9900.0}",{},58.729790925979614
1,15740.400000000005,"[6, 10, 16, 17, 18, 19, 20]",14,"{(6, 'food'): 2238.0, (6, 'water'): 9900.0, (10, 'food'): 808.0, (10, 'water'): 9900.0, (16, 'food'): 4584.0, (16, 'water'): 9900.0, (17, 'food'): 9189.0, (17, 'water'): 9900.0, (18, 'food'): 7299.0, (18, 'water'): 9900.0, (19, 'food'): 7203.0, (19, 'water'): 9900.0, (20, 'food'): 9900.0, (20, 'water'): 9900.0}",0,2,"{(6, 'food'): 2238.0, (6, 'water'): 9900.0, (10, 'food'): 808.0, (10, 'water'): 9900.0, (16, 'food'): 4584.0, (16, 'water'): 9900.0, (17, 'food'): 9189.0, (17, 'water'): 9900.0, (18, 'food'): 7299.0, (18, 'water'): 9900.0, (19, 'food'): 7203.0, (19, 'water'): 9900.0, (20, 'food'): 9900.0, (20, 'water'): 9900.0}","{(41, 'water'): <gurobi.Var *Awaiting Model Update*>}","{(6, 'food'): 2238.0, (6, 'water'): 9900.0, (10, 'food'): 808.0, (10, 'water'): 9900.0, (16, 'food'): 4584.0, (16, 'water'): 9900.0, (17, 'food'): 9189.0, (17, 'water'): 9900.0, (18, 'food'): 7299.0, (18, 'water'): 9900.0, (19, 'food'): 7203.0, (19, 'water'): 9900.0, (20, 'food'): 9900.0, (20, 'water'): 9900.0}",{},71.60727190971375
2,131588.99999999997,"[10, 11, 12, 13, 15, 17, 28]",14,"{(10, 'food'): 9900.0, (10, 'water'): 9900.0, (11, 'food'): 9900.0, (11, 'water'): 9900.0, (12, 'food'): 9900.0, (12, 'water'): 9900.0, (13, 'food'): 9900.0, (13, 'water'): 9900.0, (15, 'food'): 9900.0, (15, 'water'): 9900.0, (17, 'food'): 9900.0, (17, 'water'): 9900.0, (28, 'food'): 9900.0, (28, 'water'): 9900.0}",0,2,"{(10, 'food'): 9900.0, (10, 'water'): 9900.0, (11, 'food'): 9900.0, (11, 'water'): 9900.0, (12, 'food'): 9900.0, (12, 'water'): 9900.0, (13, 'food'): 9900.0, (13, 'water'): 9900.0, (15, 'food'): 9900.0, (15, 'water'): 9900.0, (17, 'food'): 9900.0, (17, 'water'): 9900.0, (28, 'food'): 9900.0, (28, 'water'): 9900.0}","{(41, 'water'): <gurobi.Var *Awaiting Model Update*>}","{(10, 'food'): 9900.0, (10, 'water'): 9900.0, (11, 'food'): 9900.0, (11, 'water'): 9900.0, (12, 'food'): 9900.0, (12, 'water'): 9900.0, (13, 'food'): 9900.0, (13, 'water'): 9900.0, (15, 'food'): 9900.0, (15, 'water'): 9900.0, (17, 'food'): 9900.0, (17, 'water'): 9900.0, (28, 'food'): 9900.0, (28, 'water'): 9900.0}",{},24.500573873519897
3,19.200000000000003,"[1, 2, 11, 21, 22, 23, 25]",14,"{(1, 'food'): 4901.0, (1, 'water'): 9900.0, (2, 'food'): 4793.0, (2, 'water'): 9457.0, (11, 'food'): 1018.0, (11, 'water'): 7475.0, (21, 'food'): 5479.0, (21, 'water'): 9900.0, (22, 'food'): 2200.0, (22, 'water'): 8373.0, (23, 'food'): 2152.0, (23, 'water'): 9900.0, (25, 'food'): 834.0, (25, 'water'): 7208.0}",0,2,"{(1, 'food'): 4901.0, (1, 'water'): 9900.0, (2, 'food'): 4793.0, (2, 'water'): 9457.0, (11, 'food'): 1018.0, (11, 'water'): 7475.0, (21, 'food'): 5479.0, (21, 'water'): 9900.0, (22, 'food'): 2200.0, (22, 'water'): 8373.0, (23, 'food'): 2152.0, (23, 'water'): 9900.0, (25, 'food'): 834.0, (25, 'water'): 7208.0}","{(41, 'water'): <gurobi.Var *Awaiting Model Update*>}","{(1, 'food'): 4901.0, (1, 'water'): 9900.0, (2, 'food'): 4793.0, (2, 'water'): 9457.0, (11, 'food'): 1018.0, (11, 'water'): 7475.0, (21, 'food'): 5479.0, (21, 'water'): 9900.0, (22, 'food'): 2200.0, (22, 'water'): 8373.0, (23, 'food'): 2152.0, (23, 'water'): 9900.0, (25, 'food'): 834.0, (25, 'water'): 7208.0}",{},113.07866287231445
4,19.200000000000003,"[6, 12, 14, 17, 21, 23, 37]",12,"{(6, 'food'): 3098.0, (6, 'water'): 5704.0, (14, 'food'): 2408.0, (14, 'water'): 7880.0, (17, 'food'): 2274.0, (17, 'water'): 8896.0, (21, 'food'): 3946.0, (21, 'water'): 9088.0, (23, 'food'): 3146.0, (23, 'water'): 8896.0, (37, 'food'): 1134.0, (37, 'water'): 5636.0}",0,2,"{(6, 'food'): 3098.0, (6, 'water'): 5704.0, (14, 'food'): 2408.0, (14, 'water'): 7880.0, (17, 'food'): 2274.0, (17, 'water'): 8896.0, (21, 'food'): 3946.0, (21, 'water'): 9088.0, (23, 'food'): 3146.0, (23, 'water'): 8896.0, (37, 'food'): 1134.0, (37, 'water'): 5636.0}","{(41, 'water'): <gurobi.Var *Awaiting Model Update*>}","{(6, 'food'): 3098.0, (6, 'water'): 5704.0, (14, 'food'): 2408.0, (14, 'water'): 7880.0, (17, 'food'): 2274.0, (17, 'water'): 8896.0, (21, 'food'): 3946.0, (21, 'water'): 9088.0, (23, 'food'): 3146.0, (23, 'water'): 8896.0, (37, 'food'): 1134.0, (37, 'water'): 5636.0}",{},85.61317777633667
5,12370.2,"[4, 18, 19, 20, 21, 27, 37]",14,"{(4, 'food'): 2802.0, (4, 'water'): 9900.0, (18, 'food'): 9259.0, (18, 'water'): 9900.0, (19, 'food'): 9116.0, (19, 'water'): 9900.0, (20, 'food'): 3704.0, (20, 'water'): 9900.0, (21, 'food'): 5697.0, (21, 'water'): 9900.0, (27, 'food'): 3893.0, (27, 'water'): 9900.0, (37, 'food'): 3019.0, (37, 'water'): 9900.0}",0,2,"{(4, 'food'): 2802.0, (4, 'water'): 9900.0, (18, 'food'): 9259.0, (18, 'water'): 9900.0, (19, 'food'): 9116.0, (19, 'water'): 9900.0, (20, 'food'): 3704.0, (20, 'water'): 9900.0, (21, 'food'): 5697.0, (21, 'water'): 9900.0, (27, 'food'): 3893.0, (27, 'water'): 9900.0, (37, 'food'): 3019.0, (37, 'water'): 9900.0}","{(41, 'water'): <gurobi.Var *Awaiting Model Update*>}","{(4, 'food'): 2802.0, (4, 'water'): 9900.0, (18, 'food'): 9259.0, (18, 'water'): 9900.0, (19, 'food'): 9116.0, (19, 'water'): 9900.0, (20, 'food'): 3704.0, (20, 'water'): 9900.0, (21, 'food'): 5697.0, (21, 'water'): 9900.0, (27, 'food'): 3893.0, (27, 'water'): 9900.0, (37, 'food'): 3019.0, (37, 'water'): 9900.0}",{},89.95270800590515
6,90064.20000000004,"[20, 21, 22, 24, 25, 27, 28]",14,"{(20, 'food'): 9900.0, (20, 'water'): 9900.0, (21, 'food'): 9900.0, (21, 'water'): 9900.0, (22, 'food'): 9900.0, (22, 'water'): 9900.0, (24, 'food'): 9900.0, (24, 'water'): 9900.0, (25, 'food'): 9900.0, (25, 'water'): 9900.0, (27, 'food'): 9900.0, (27, 'water'): 9900.0, (28, 'food'): 9900.0, (28, 'water'): 9900.0}",0,2,"{(20, 'food'): 9900.0, (20, 'water'): 9900.0, (21, 'food'): 9900.0, (21, 'water'): 9900.0, (22, 'food'): 9900.0, (22, 'water'): 9900.0, (24, 'food'): 9900.0, (24, 'water'): 9900.0, (25, 'food'): 9900.0, (25, 'water'): 9900.0, (27, 'food'): 9900.0, (27, 'water'): 9900.0, (28, 'food'): 9900.0, (28, 'water'): 9900.0}","{(41, 'water'): <gurobi.Var *Awaiting Model Update*>}","{(20, 'food'): 9900.0, (20, 'water'): 9900.0, (21, 'food'): 9900.0, (21, 'water'): 9900.0, (22, 'food'): 9900.0, (22, 'water'): 9900.0, (24, 'food'): 9900.0, (24, 'water'): 9900.0, (25, 'food'): 9900.0, (25, 'water'): 9900.0, (27, 'food'): 9900.0, (27, 'water'): 9900.0, (28, 'food'): 9900.0, (28, 'water'): 9900.0}",{},33.91886591911316
7,9934.800000000003,"[1, 10, 17, 18, 19, 20, 21]",14,"{(1, 'food'): 1732.0, (1, 'water'): 9900.0, (10, 'food'): 4502.0, (10, 'water'): 9900.0, (17, 'food'): 3885.0, (17, 'water'): 9900.0, (18, 'food'): 1837.0, (18, 'water'): 9900.0, (19, 'food'): 8403.0, (19, 'water'): 9900.0, (20, 'food'): 7562.0, (20, 'water'): 9900.0, (21, 'food'): 6863.0, (21, 'water'): 9900.0}",0,2,"{(1, 'food'): 1732.0, (1, 'water'): 9900.0, (10, 'food'): 4502.0, (10, 'water'): 9900.0, (17, 'food'): 3885.0, (17, 'water'): 9900.0, (18, 'food'): 1837.0, (18, 'water'): 9900.0, (19, 'food'): 8403.0, (19, 'water'): 9900.0, (20, 'food'): 7562.0, (20, 'water'): 9900.0, (21, 'food'): 6863.0, (21, 'water'): 9900.0}","{(41, 'water'): <gurobi.Var *Awaiting Model Update*>}","{(1, 'food'): 1732.0, (1, 'water'): 9900.0, (10, 'food'): 4502.0, (10, 'water'): 9900.0, (17, 'food'): 3885.0, (17, 'water'): 9900.0, (18, 'food'): 1837.0, (18, 'water'): 9900.0, (19, 'food'): 8403.0, (19, 'water'): 9900.0, (20, 'food'): 7562.0, (20, 'water'): 9900.0, (21, 'food'): 6863.0, (21, 'water'): 9900.0}",{},84.15810799598694
8,42758.39999999999,"[9, 13, 15, 16, 21, 22, 23]",14,"{(9, 'food'): 9900.0, (9, 'water'): 9900.0, (13, 'food'): 9900.0, (13, 'water'): 9900.0, (15, 'food'): 9900.0, (15, 'water'): 9900.0, (16, 'food'): 9900.0, (16, 'water'): 9900.0, (21, 'food'): 9900.0, (21, 'water'): 9900.0, (22, 'food'): 9900.0, (22, 'water'): 9900.0, (23, 'food'): 9900.0, (23, 'water'): 9900.0}",0,2,"{(9, 'food'): 9900.0, (9, 'water'): 9900.0, (13, 'food'): 9900.0, (13, 'water'): 9900.0, (15, 'food'): 9900.0, (15, 'water'): 9900.0, (16, 'food'): 9900.0, (16, 'water'): 9900.0, (21, 'food'): 9900.0, (21, 'water'): 9900.0, (22, 'food'): 9900.0, (22, 'water'): 9900.0, (23, 'food'): 9900.0, (23, 'water'): 9900.0}","{(41, 'water'): <gurobi.Var *Awaiting Model Update*>}","{(9, 'food'): 9900.0, (9, 'water'): 9900.0, (13, 'food'): 9900.0, (13, 'water'): 9900.0, (15, 'food'): 9900.0, (15, 'water'): 9900.0, (16, 'food'): 9900.0, (16, 'water'): 9900.0, (21, 'food'): 9900.0, (21, 'water'): 9900.0, (22, 'food'): 9900.0, (22, 'water'): 9900.0, (23, 'food'): 9900.0, (23, 'water'): 9900.0}",{},40.314775705337524
9,86411.09999999996,"[9, 10, 21, 28, 31, 38, 41]",14,"{(9, 'food'): 9900.0, (9, 'water'): 9900.0, (10, 'food'): 9900.0, (10, 'water'): 9900.0, (21, 'food'): 9900.0, (21, 'water'): 9900.0, (28, 'food'): 9900.0, (28, 'water'): 9900.0, (31, 'food'): 9900.0, (31, 'water'): 9900.0, (38, 'food'): 9900.0, (38, 'water'): 9900.0, (41, 'food'): 9900.0, (41, 'water'): 9900.0}",0,2,"{(9, 'food'): 9900.0, (9, 'water'): 9900.0, (10, 'food'): 9900.0, (10, 'water'): 9900.0, (21, 'food'): 9900.0, (21, 'water'): 9900.0, (28, 'food'): 9900.0, (28, 'water'): 9900.0, (31, 'food'): 9900.0, (31, 'water'): 9900.0, (38, 'food'): 9900.0, (38, 'water'): 9900.0, (41, 'food'): 9900.0, (41, 'water'): 9900.0}","{(41, 'water'): <gurobi.Var *Awaiting Model Update*>}","{(9, 'food'): 9900.0, (9, 'water'): 9900.0, (10, 'food'): 9900.0, (10, 'water'): 9900.0, (21, 'food'): 9900.0, (21, 'water'): 9900.0, (28, 'food'): 9900.0, (28, 'water'): 9900.0, (31, 'food'): 9900.0, (31, 'water'): 9900.0, (38, 'food'): 9900.0, (38, 'water'): 9900.0, (41, 'food'): 9900.0, (41, 'water'): 9900.0}",{},25.010705947875977
10,139067.3999999999,"[12, 13, 14, 17, 18, 20, 32]",14,"{(12, 'food'): 9900.0, (12, 'water'): 9900.0, (13, 'food'): 9900.0, (13, 'water'): 9900.0, (14, 'food'): 9900.0, (14, 'water'): 9900.0, (17, 'food'): 9900.0, (17, 'water'): 9900.0, (18, 'food'): 9900.0, (18, 'water'): 9900.0, (20, 'food'): 9900.0, (20, 'water'): 9900.0, (32, 'food'): 9900.0, (32, 'water'): 9900.0}",0,2,"{(12, 'food'): 9900.0, (12, 'water'): 9900.0, (13, 'food'): 9900.0, (13, 'water'): 9900.0, (14, 'food'): 9900.0, (14, 'water'): 9900.0, (17, 'food'): 9900.0, (17, 'water'): 9900.0, (18, 'food'): 9900.0, (18, 'water'): 9900.0, (20, 'food'): 9900.0, (20, 'water'): 9900.0, (32, 'food'): 9900.0, (32, 'water'): 9900.0}","{(41, 'water'): <gurobi.Var *Awaiting Model Update*>}","{(12, 'food'): 9900.0, (12, 'water'): 9900.0, (13, 'food'): 9900.0, (13, 'water'): 9900.0, (14, 'food'): 9900.0, (14, 'water'): 9900.0, (17, 'food'): 9900.0, (17, 'water'): 9900.0, (18, 'food'): 9900.0, (18, 'water'): 9900.0, (20, 'food'): 9900.0, (20, 'water'): 9900.0, (32, 'food'): 9900.0, (32, 'water'): 9900.0}",{},16.648611068725586
11,119178.3000000001,"[10, 15, 16, 17, 20, 31, 38]",14,"{(10, 'food'): 9900.0, (10, 'water'): 9900.0, (15, 'food'): 9900.0, (15, 'water'): 9900.0, (16, 'food'): 9900.0, (16, 'water'): 9900.0, (17, 'food'): 9900.0, (17, 'water'): 9900.0, (20, 'food'): 9900.0, (20, 'water'): 9900.0, (31, 'food'): 9900.0, (31, 'water'): 9900.0, (38, 'food'): 9900.0, (38, 'water'): 9900.0}",0,2,"{(10, 'food'): 9900.0, (10, 'water'): 9900.0, (15, 'food'): 9900.0, (15, 'water'): 9900.0, (16, 'food'): 9900.0, (16, 'water'): 9900.0, (17, 'food'): 9900.0, (17, 'water'): 9900.0, (20, 'food'): 9900.0, (20, 'water'): 9900.0, (31, 'food'): 9900.0, (31, 'water'): 9900.0, (38, 'food'): 9900.0, (38, 'water'): 9900.0}","{(41, 'water'): <gurobi.Var *Awaiting Model Update*>}","{(10, 'food'): 9900.0, (10, 'water'): 9900.0, (15, 'food'): 9900.0, (15, 'water'): 9900.0, (16, 'food'): 9900.0, (16, 'water'): 9900.0, (17, 'food'): 9900.0, (17, 'water'): 9900.0, (20, 'food'): 9900.0, (20, 'water'): 9900.0, (31, 'food'): 9900.0, (31, 'water'): 9900.0, (38, 'food'): 9900.0, (38, 'water'): 9900.0}",{},27.457422971725464
12,20205.299999999996,"[7, 13, 14, 15, 21, 23, 26]",14,"{(7, 'food'): 3487.0, (7, 'water'): 9900.0, (13, 'food'): 9133.0, (13, 'water'): 9900.0, (14, 'food'): 7768.0, (14, 'water'): 9900.0, (15, 'food'): 4601.0, (15, 'water'): 9900.0, (21, 'food'): 8988.0, (21, 'water'): 9900.0, (23, 'food'): 5570.0, (23, 'water'): 9900.0, (26, 'food'): 6635.0, (26, 'water'): 9900.0}",0,2,"{(7, 'food'): 3487.0, (7, 'water'): 9900.0, (13, 'food'): 9133.0, (13, 'water'): 9900.0, (14, 'food'): 7768.0, (14, 'water'): 9900.0, (15, 'food'): 4601.0, (15, 'water'): 9900.0, (21, 'food'): 8988.0, (21, 'water'): 9900.0, (23, 'food'): 5570.0, (23, 'water'): 9900.0, (26, 'food'): 6635.0, (26, 'water'): 9900.0}","{(41, 'water'): <gurobi.Var *Awaiting Model Update*>}","{(7, 'food'): 3487.0, (7, 'water'): 9900.0, (13, 'food'): 9133.0, (13, 'water'): 9900.0, (14, 'food'): 7768.0, (14, 'water'): 9900.0, (15, 'food'): 4601.0, (15, 'water'): 9900.0, (21, 'food'): 8988.0, (21, 'water'): 9900.0, (23, 'food'): 5570.0, (23, 'water'): 9900.0, (26, 'food'): 6635.0, (26, 'water'): 9900.0}",{},36.58664298057556
13,212166.29999999987,"[1, 15, 17, 18, 19, 20, 41]",14,"{(1, 'food'): 9900.0, (1, 'water'): 9900.0, (15, 'food'): 9900.0, (15, 'water'): 9900.0, (17, 'food'): 9900.0, (17, 'water'): 9900.0, (18, 'food'): 9900.0, (18, 'water'): 9900.0, (19, 'food'): 9900.0, (19, 'water'): 9900.0, (20, 'food'): 9900.0, (20, 'water'): 9900.0, (41, 'food'): 9900.0, (41, 'water'): 9900.0}",0,2,"{(1, 'food'): 9900.0, (1, 'water'): 9900.0, (15, 'food'): 9900.0, (15, 'water'): 9900.0, (17, 'food'): 9900.0, (17, 'water'): 9900.0, (18, 'food'): 9900.0, (18, 'water'): 9900.0, (19, 'food'): 9900.0, (19, 'water'): 9900.0, (20, 'food'): 9900.0, (20, 'water'): 9900.0, (41, 'food'): 9900.0, (41, 'water'): 9900.0}","{(41, 'water'): <gurobi.Var *Awaiting Model Update*>}","{(1, 'food'): 9900.0, (1, 'water'): 9900.0, (15, 'food'): 9900.0, (15, 'water'): 9900.0, (17, 'food'): 9900.0, (17, 'water'): 9900.0, (18, 'food'): 9900.0, (18, 'water'): 9900.0, (19, 'food'): 9900.0, (19, 'water'): 9900.0, (20, 'food'): 9900.0, (20, 'water'): 9900.0, (41, 'food'): 9900.0, (41, 'water'): 9900.0}",{},21.87954092025757
14,19.200000000000003,"[21, 22, 24, 26, 30, 35, 41]",13,"{(21, 'food'): 5636.0, (21, 'water'): 9900.0, (22, 'food'): 2860.0, (22, 'water'): 9900.0, (24, 'food'): 7205.0, (24, 'water'): 9900.0, (26, 'food'): 3340.0, (26, 'water'): 9900.0, (30, 'food'): 3983.0, (30, 'water'): 9900.0, (35, 'water'): 9900.0, (41, 'food'): 1.0, (41, 'water'): 7692.0}",0,2,"{(21, 'food'): 5636.0, (21, 'water'): 9900.0, (22, 'food'): 2860.0, (22, 'water'): 9900.0, (24, 'food'): 7205.0, (24, 'water'): 9900.0, (26, 'food'): 3340.0, (26, 'water'): 9900.0, (30, 'food'): 3983.0, (30, 'water'): 9900.0, (35, 'water'): 9900.0, (41, 'food'): 1.0, (41, 'water'): 7692.0}","{(41, 'water'): <gurobi.Var *Awaiting Model Update*>}","{(21, 'food'): 5636.0, (21, 'water'): 9900.0, (22, 'food'): 2860.0, (22, 'water'): 9900.0, (24, 'food'): 7205.0, (24, 'water'): 9900.0, (26, 'food'): 3340.0, (26, 'water'): 9900.0, (30, 'food'): 3983.0, (30, 'water'): 9900.0, (35, 'water'): 9900.0, (41, 'food'): 1.0, (41, 'water'): 7692.0}",{},117.89028596878052
15,19.200000000000003,"[8, 18, 21, 24, 25, 26, 33]",14,"{(8, 'food'): 3997.0, (8, 'water'): 9900.0, (18, 'food'): 1070.0, (18, 'water'): 5929.0, (21, 'food'): 7778.0, (21, 'water'): 9900.0, (24, 'food'): 1653.0, (24, 'water'): 9900.0, (25, 'food'): 4288.0, (25, 'water'): 9900.0, (26, 'food'): 1517.0, (26, 'water'): 9900.0, (33, 'food'): 2140.0, (33, 'water'): 9900.0}",0,2,"{(8, 'food'): 3997.0, (8, 'water'): 9900.0, (18, 'food'): 1070.0, (18, 'water'): 5929.0, (21, 'food'): 7778.0, (21, 'water'): 9900.0, (24, 'food'): 1653.0, (24, 'water'): 9900.0, (25, 'food'): 4288.0, (25, 'water'): 9900.0, (26, 'food'): 1517.0, (26, 'water'): 9900.0, (33, 'food'): 2140.0, (33, 'water'): 9900.0}","{(41, 'water'): <gurobi.Var *Awaiting Model Update*>}","{(8, 'food'): 3997.0, (8, 'water'): 9900.0, (18, 'food'): 1070.0, (18, 'water'): 5929.0, (21, 'food'): 7778.0, (21, 'water'): 9900.0, (24, 'food'): 1653.0, (24, 'water'): 9900.0, (25, 'food'): 4288.0, (25, 'water'): 9900.0, (26, 'food'): 1517.0, (26, 'water'): 9900.0, (33, 'food'): 2140.0, (33, 'water'): 9900.0}",{},93.16143298149109
